_id,CODICEIDENTIFICATIVOFARMACIA,CODFARMACIAASSEGNATODAASL,INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,CODICECOMUNEISTAT,DESCRIZIONECOMUNE,FRAZIONE,CODICEPROVINCIAISTAT,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,CODICEREGIONE,DESCRIZIONEREGIONE,DATAINIZIOVALIDITA,DATAFINEVALIDITA,DESCRIZIONETIPOLOGIA,CODICETIPOLOGIA,LATITUDINE,LONGITUDINE,LOCALIZE
2573,10485,0,"Via Casal del Marmo, 368-370",COMUNALE PALMAROLA,07511241007,135,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,31/08/2007,Ordinaria,1,41.92368,12.57115,1
2574,10485,0,"Via Casal del Marmo, 368-370",COMUNALE PALMAROLA,05903241007,135,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2007-01-09T00:00:00,-,Ordinaria,1,41.92368,12.57115,1
2575,16413,0,"Via Vicenza, 21G",CAPPUCCINI,-,1100,56059,VITERBO,-,56,VT,VITERBO,120,LAZIO,2005-01-01T00:00:00,31/03/2010,Ordinaria,1,42.41982,12.11286,1
2576,16413,0,"Via Vicenza, 40/A",DEI CAPPUCCINI,01207500560,1100,56059,VITERBO,-,56,VT,VITERBO,120,LAZIO,2015-01-04T00:00:00,-,Ordinaria,1,42.41982,12.11286,1
2577,16413,0,"Via Vicenza, 40/A",CAPPUCCINI,01207500560,1100,56059,VITERBO,-,56,VT,VITERBO,120,LAZIO,2013-01-03T00:00:00,31/03/2015,Ordinaria,1,42.41982,12.11286,1
2578,16413,0,"Via Vicenza, 21G",CAPPUCCINI,01207500560,1100,56059,VITERBO,-,56,VT,VITERBO,120,LAZIO,2010-01-04T00:00:00,28/02/2013,Ordinaria,1,42.41982,12.11286,1
2579,16414,0,"Piazza Giuseppe Verdi, 1/a",MONTALBOLDI SNC,00838140564,1100,56059,VITERBO,-,56,VT,VITERBO,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,42.4207,12.10799,1
2580,16421,0,Via XXIV Maggio,DISPENSARIO MIRI SEYED JAVAD,-,20,58014,CAMERATA NUOVA,-,58,RM,ROMA,120,LAZIO,2011-01-05T00:00:00,-,Dispensario,3,41.98948,13.15748,1
2581,16477,0,"VIALE RONALDO VIGNALI, 66",COM.LE  FARMACAP BRUNO PELIZZI,05903241007,173,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2007-01-09T00:00:00,-,Ordinaria,1,41.90151,12.46077,1
2582,16477,0,"VIALE RONALDO VIGNALI, 66",COM.LE  FARMACAP BRUNO PELIZZI,05741660582,173,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,31/08/2007,Ordinaria,1,41.90151,12.46077,1
2583,16576,0,"Via dei Faggi, 1",ESA SRL - SOCIETA' UNIPERSONALE DEL COMUNE DI ANGULLARA SABAZIA,02120471004,61,58005,ANGUILLARA SABAZIA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,42.02338,12.23357,1
2584,16576,0,"Via dei Faggi, 1",BEVILACQUA DOTT. CARLO MARIA,12139471002,61,58005,ANGUILLARA SABAZIA,-,58,RM,ROMA,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,42.02338,12.23357,1
2585,16596,0,"Via del Pavone, 52",PANETTA DR. ANTONIO,12451621002,63,58015,CAMPAGNANO DI ROMA,-,58,RM,ROMA,120,LAZIO,2015-01-05T00:00:00,-,Ordinaria,1,42.14073,12.38322,1
2586,16596,0,"Piazza Cesare Leonelli, 19",PANETTA DR. ANTONIO,12451621002,63,58015,CAMPAGNANO DI ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,30/04/2015,Ordinaria,1,42.14073,12.38322,1
2587,16696,0,"Via Francesco Gianelli, snc",PHARMANEPI SRL,01687200566,1036,56039,NEPI,-,56,VT,VITERBO,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,42.2232,12.33272,1
2588,16737,0,"VIA STAZIONE, 4",STAZIONE SPA,02381400601,3013,60033,FERENTINO,-,60,FR,FROSINONE,120,LAZIO,2010-01-06T00:00:00,-,Ordinaria,1,41.69474,13.24833,1
2589,16737,0,VIA STAZIONE,STAZIONE SPA,02112880600,3013,60033,FERENTINO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/05/2010,Ordinaria,1,41.69474,13.24833,1
2590,16739,0,"Via Vittorio Alfieri, 65",COMUNALE CEPRANO,00613310606,3024,60025,CEPRANO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.54672,13.49806,1
2591,16743,0,"Via A. De Gasperi, 68",AGROVERDE FARMA SRL COMUNALE,02007020593,4011,59001,APRILIA,-,59,LT,LATINA,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.5942,12.64858,1
2592,16758,0,"VIA LA CONA,  1","FARM. COMUNALE PALIANO ""AMEA""",-,3018,60046,PALIANO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.78468,13.05229,1
2593,16759,0,"Via Sordella, 15",FARMACIA COMUNALE,02112880600,3044,60026,CERVARO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.48112,13.90511,1
2594,16760,0,"VIA STAZIONE SUPINO,112",COMUNALE N.2 FERENTINO STAZIONE,00229230602,3013,60033,FERENTINO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.69474,13.24833,1
2595,16770,0,"Via Casilina km 27,7",COMUNALE SAN CESAREO,-,30,58119,SAN CESAREO,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,30/06/2007,Ordinaria,1,41.81822,12.81601,1
2596,16770,0,"Via Casilina, 65",COMUNALE 8 SAN CESAREO,02315031001,30,58119,SAN CESAREO,-,58,RM,ROMA,120,LAZIO,2007-01-07T00:00:00,-,Ordinaria,1,41.81822,12.81601,1
2597,16771,0,"Lungomare delle Sirene, 404",POMEZIA SERVIZI SPA - COMUNALE 5,-,40,58079,POMEZIA,TORVAIANICA,58,RM,ROMA,120,LAZIO,2013-01-04T00:00:00,-,Ordinaria,1,41.66282,12.50551,1
2598,16771,0,"Lungomare delle Sirene, 404",COMUNALE N.5 POMEZIA DR.SSA PIAZZA DANIELA,-,40,58079,POMEZIA,TORVAIANICA,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,31/03/2013,Ordinaria,1,41.66282,12.50551,1
2599,16772,0,"Via Tiberina, 2/D",COMUNALE CASTELNUOVO DI PORTO,-,60,58024,CASTELNUOVO DI PORTO,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,42.09424,12.56579,1
2600,16773,0,"Via Bari, 72 Ang. Via Suor M.T. Spinelli",COMUNALE N.7 LADISPOLI,-,55,58116,LADISPOLI,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.95433,12.09879,1
2601,16774,0,"Via Antonio Mantegna, 1",COMUNALE 9 ZAGAROLO,02315031001,39,58114,ZAGAROLO,-,58,RM,ROMA,120,LAZIO,2007-01-07T00:00:00,-,Ordinaria,1,41.85383,12.79459,1
2602,16774,0,"Via Antonio Mantegna, 1",COMUNALE ZAGAROLO,00201970233,39,58114,ZAGAROLO,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,30/06/2007,Ordinaria,1,41.85383,12.79459,1
